id|author|year|main_category|reading_ref
1000|Christopher D. Manning#Hinrich Schutze|1999|Search & Information Retrieval| Christopher D. Manning and Hinrich Schutze, Foundations of Statistical Natural Language Processing, MIT Press. Cambridge, MA: 1999.
1001|N. J. Belkin#W. B. Croft|1992|Search & Information Retrieval| N. J. Belkin and W. B. Croft. 1992. Information filtering and information retrieval: two sides of the same coin?. Commun. ACM 35, 12
1002|Robertson|1977|Search & Information Retrieval| S.E Robertson, The probability ranking principle in IR. Journal of Documentation 33, 294-304, 1977
1003|C. J. van Rijsbergen#Newton|1979|Search & Information Retrieval| C. J. van Rijsbergen, Information Retrieval, 2nd Edition, Butterworth-Heinemann, Newton, MA, USA, 1979
1004|Hui Fang#Tao Tao#Chengxiang Zhai|2011|Search & Information Retrieval| Detailed discussion and comparison of state of the art models – Hui Fang, Tao Tao, and Chengxiang Zhai. 2011. Diagnostic Evaluation of Information Retrieval Models. ACM Trans. Inf. Syst. 29, 2, Article 7, 2011)
1005|ChengXiang Zhai|2008|Search & Information Retrieval| Broad review of different retrieval models – ChengXiang Zhai, Statistical Language Models for Information Retrieval , Morgan & Claypool Publishers, 2008. (Chapter 2)
1006|A. Singhal#C. Buckley#M. Mitra|1996|Search & Information Retrieval| A. Singhal, C. Buckley, and M. Mitra. Pivoted document length normalization. In Proceedings of ACM SIGIR 1996.
1007|S. E. Robertson#S. Walker|1994|Search & Information Retrieval| S. E. Robertson and S. Walker Some simple effective approximations to the 2-Poisson model for probabilistic weighted retrieval, Proceedings of ACM SIGIR 1994.
1008|S. Robertson#H. Zaragoza|2009|Search & Information Retrieval| S. Robertson and H. Zaragoza The Probabilistic Relevance Framework: BM25 and Beyond, Found. Trends Inf. Retr. 3, 4 2009.
1009|Y. Lv#C. Zhai|2011|Search & Information Retrieval| Y. Lv, C. Zhai, Lower-bounding term frequency normalization. In Proceedings of ACM CIKM 2011.
1010|Ian H. Witten#Alistair Moffat#Timothy C. Bell#Morgan Kaufmann|1999|Search & Information Retrieval| Ian H. Witten, Alistair Moffat, Timothy C. Bell: Managing Gigabytes: Compressing and Indexing Documents and Images, Second Edition. Morgan Kaufmann, 1999.
1011|Stefan Buttcher#Charles L. A. Clarke#Gordon V. Cormack|2010|Search & Information Retrieval| Stefan Buttcher, Charles L. A. Clarke, Gordon V. Cormack: Information Retrieval - Implementing and Evaluating Search Engines. MIT Press, 2010.
1012|Donna Harman|2011|Search & Information Retrieval| Donna Harman :, Information retrieval Evaluation Synthesis Lectures on Information Concepts, Retrieval, and Services, Morgan & Claypool Publishers, 2011
1013|Mark Sanderson|2010|Search & Information Retrieval| Mark Sanderson, Test Collection Based Evaluation of Information Retrieval Systems. Foundations and Trends in Information Retrieval 4(4): 247-375, 2010
1014|Diane Kelly|2009|Search & Information Retrieval| Diane Kelly, Methods for Evaluating Interactive Information Retrieval Systems with Users. Foundations and Trends in Information Retrieval 3(1-2): 1-224 (2009)
1015|Chris Manning#Hinrich Schutze|1999|Search & Information Retrieval| Chris Manning and Hinrich Schutze, Foundations of Statistical Natural Language Processing, MIT Press. Cambridge, MA: 1999.
1016|Rosenfeld R.|2000|Search & Information Retrieval| Rosenfeld R., "Two decades of statistical language modeling: where do we go from here?," Proceedings of the IEEE , vol.88, no.8, pp.1270,1278, 2000
1017|ChengXiang Zhai|2008|Search & Information Retrieval| ChengXiang Zhai, Statistical Language Models for Information Retrieval (Synthesis Lectures Series on Human Language Technologies), Morgan & Claypool Publishers, 2008.
1018|ChengXiang Zhai|2008|Search & Information Retrieval| ChengXiang Zhai, Statistical Language Models for Information Retrieval (Synthesis Lectures Series on Human Language Technologies), Morgan & Claypool Publishers, 2008.
1019|Victor Lavrenko#W. Bruce Croft|2011|Search & Information Retrieval| Victor Lavrenko and W. Bruce Croft. 2001. Relevance based language models. In Proceedings of ACM SIGIR 2011.
1020|Francesco Ricci#Lior Rokach#Bracha Shapira#Paul B. Kantor#Springer|2011|Search & Information Retrieval| Francesco Ricci, Lior Rokach, Bracha Shapira, Paul B. Kantor: Recommender Systems Handbook. Springer 2011.
1021|Tie-Yan Liu|2009|Search & Information Retrieval| Tie-Yan Liu, Learning to Rank for Information Retrieval. Foundations and Trends in Information Retrieval 3, 3 (2009): 225-331.
